state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
IL,5274,27170180,4455,24486512,819,2476404,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
IN,1830,9357238,1536,8442314,294,888804,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
KS,751,3934384,661,3631940,91,273672,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
KY,1138,5899966,986,5417682,152,460404,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
LA,9771,49690226,8135,44711334,1636,4947012,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MA,33900,179392165,30984,170289438,2916,8817732,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MD,17133,90513865,15609,85785232,1525,4610088,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
ME,304,1483355,222,1222402,82,246456,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MI,27286,142034128,24053,132195746,3233,9777348,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MN,10537,55954626,9730,53475622,807,2440620,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MO,1728,9052735,1517,8339722,211,637812,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MS,5735,29309290,4837,26585984,898,2715552,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
MT,830,4201428,683,3753310,147,443268,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NY,129583,680181850,116532,640457582,13051,39466728,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NC,7824,40746415,6884,37832632,940,2843316,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
ND,97,479518,75,409910,22,66528,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NE,137,694639,111,608224,26,79380,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NH,238,1200758,188,1032790,50,149940,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NJ,18821,102073878,17246,94785848,1575,4761540,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NM,590,3010253,482,2646782,108,326592,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
NV,6848,35766563,6069,33352934,780,2357208,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
OH,14924,77138312,12342,67829800,2583,7810236,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
OK,2604,13293681,2183,11998226,421,1274112,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
OR,8361,43467279,7338,40331480,1023,3092544,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
PA,27711,144610451,24554,134948784,3157,9545760,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
RI,1432,7402616,1239,6810460,193,583128,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
SC,2102,10833081,1793,9851580,309,934668,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
SD,1526,8081001,1401,7700354,125,377748,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
TN,8002,40909467,6743,37058154,1259,3806460,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
TX,57781,297959356,49706,273181428,8076,24420564,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
UT,235,1174401,182,1001646,53,160020,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
VA,6382,34148479,5822,32000002,560,1693188,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
VT,857,4347276,709,3896664,148,448056,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
WA,25715,135711388,23390,128549608,2325,7031808,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
WI,7115,36780395,6165,33881466,950,2872548,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
WV,4671,24037269,4007,22020182,664,2007936,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
WY,189,950935,154,843636,35,106596,FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626
AL,2491,12871090,2104,11564500,387,1171044,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
AK,663,3367444,549,3016388,114,344736,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
AR,2373,12149056,2009,11042380,364,1099980,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
AZ,4108,21492618,3556,19544692,552,1668240,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
CA,187725,1007115990,174128,957008862,13597,41117580,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
CO,1034,5127638,784,4307032,250,756756,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
CT,2719,14153816,2367,13009490,352,1063692,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
DC,2056,10285159,1637,8996952,419,1267056,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
DE,745,3870883,651,3575606,95,286776,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
FL,105020,554796546,95729,526124294,9291,28097244,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
GA,2516,12926156,2112,11605720,405,1223208,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
HI,3692,19060239,3184,17497432,508,1535940,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
IA,3084,15842890,2630,14452648,455,1374912,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
ID,566,2899939,477,2619760,89,269388,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
IL,5274,27170180,4455,24486512,819,2476404,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
IN,1830,9357238,1536,8442314,294,888804,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
KS,751,3934384,661,3631940,91,273672,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
KY,1138,5899966,986,5417682,152,460404,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
LA,9771,49690226,8135,44711334,1636,4947012,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MA,33900,179392165,30984,170289438,2916,8817732,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MD,17133,90513865,15609,85785232,1525,4610088,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
ME,304,1483355,222,1222402,82,246456,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MI,27286,142034128,24053,132195746,3233,9777348,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MN,10537,55954626,9730,53475622,807,2440620,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MO,1728,9052735,1517,8339722,211,637812,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MS,5735,29309290,4837,26585984,898,2715552,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
MT,830,4201428,683,3753310,147,443268,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NY,129583,680181850,116532,640457582,13051,39466728,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NC,7824,40746415,6884,37832632,940,2843316,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
ND,97,479518,75,409910,22,66528,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NE,137,694639,111,608224,26,79380,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NH,238,1200758,188,1032790,50,149940,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NJ,18821,102073878,17246,94785848,1575,4761540,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NM,590,3010253,482,2646782,108,326592,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
NV,6848,35766563,6069,33352934,780,2357208,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
OH,14924,77138312,12342,67829800,2583,7810236,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
OK,2604,13293681,2183,11998226,421,1274112,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
OR,8361,43467279,7338,40331480,1023,3092544,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
PA,27711,144610451,24554,134948784,3157,9545760,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
RI,1432,7402616,1239,6810460,193,583128,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
SC,2102,10833081,1793,9851580,309,934668,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
SD,1526,8081001,1401,7700354,125,377748,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
TN,8002,40909467,6743,37058154,1259,3806460,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
TX,57781,297959356,49706,273181428,8076,24420564,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
UT,235,1174401,182,1001646,53,160020,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
VA,6382,34148479,5822,32000002,560,1693188,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
VT,857,4347276,709,3896664,148,448056,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
WA,25715,135711388,23390,128549608,2325,7031808,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
WI,7115,36780395,6165,33881466,950,2872548,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
WV,4671,24037269,4007,22020182,664,2007936,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
WY,189,950935,154,843636,35,106596,GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602
AL,2491,12871090,2104,11564500,387,1171044,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
AK,663,3367444,549,3016388,114,344736,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
AR,2373,12149056,2009,11042380,364,1099980,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
AZ,4108,21492618,3556,19544692,552,1668240,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
CA,187725,1007115990,174128,957008862,13597,41117580,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
CO,1034,5127638,784,4307032,250,756756,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
CT,2719,14153816,2367,13009490,352,1063692,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
DC,2056,10285159,1637,8996952,419,1267056,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
DE,745,3870883,651,3575606,95,286776,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
FL,105020,554796546,95729,526124294,9291,28097244,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
GA,2516,12926156,2112,11605720,405,1223208,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
HI,3692,19060239,3184,17497432,508,1535940,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
IA,3084,15842890,2630,14452648,455,1374912,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
ID,566,2899939,477,2619760,89,269388,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
IL,5274,27170180,4455,24486512,819,2476404,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
IN,1830,9357238,1536,8442314,294,888804,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
KS,751,3934384,661,3631940,91,273672,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
KY,1138,5899966,986,5417682,152,460404,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
LA,9771,49690226,8135,44711334,1636,4947012,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MA,33900,179392165,30984,170289438,2916,8817732,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MD,17133,90513865,15609,85785232,1525,4610088,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
ME,304,1483355,222,1222402,82,246456,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MI,27286,142034128,24053,132195746,3233,9777348,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MN,10537,55954626,9730,53475622,807,2440620,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MO,1728,9052735,1517,8339722,211,637812,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MS,5735,29309290,4837,26585984,898,2715552,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
MT,830,4201428,683,3753310,147,443268,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NY,129583,680181850,116532,640457582,13051,39466728,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NC,7824,40746415,6884,37832632,940,2843316,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
ND,97,479518,75,409910,22,66528,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NE,137,694639,111,608224,26,79380,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NH,238,1200758,188,1032790,50,149940,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NJ,18821,102073878,17246,94785848,1575,4761540,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NM,590,3010253,482,2646782,108,326592,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
NV,6848,35766563,6069,33352934,780,2357208,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
OH,14924,77138312,12342,67829800,2583,7810236,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
OK,2604,13293681,2183,11998226,421,1274112,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
OR,8361,43467279,7338,40331480,1023,3092544,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
PA,27711,144610451,24554,134948784,3157,9545760,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
RI,1432,7402616,1239,6810460,193,583128,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
SC,2102,10833081,1793,9851580,309,934668,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
SD,1526,8081001,1401,7700354,125,377748,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
TN,8002,40909467,6743,37058154,1259,3806460,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
TX,57781,297959356,49706,273181428,8076,24420564,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
UT,235,1174401,182,1001646,53,160020,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
VA,6382,34148479,5822,32000002,560,1693188,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
VT,857,4347276,709,3896664,148,448056,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
WA,25715,135711388,23390,128549608,2325,7031808,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
WI,7115,36780395,6165,33881466,950,2872548,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
WV,4671,24037269,4007,22020182,664,2007936,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
WY,189,950935,154,843636,35,106596,HI,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567
AL,2491,12871090,2104,11564500,387,1171044,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
AK,663,3367444,549,3016388,114,344736,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
AR,2373,12149056,2009,11042380,364,1099980,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
AZ,4108,21492618,3556,19544692,552,1668240,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
CA,187725,1007115990,174128,957008862,13597,41117580,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
CO,1034,5127638,784,4307032,250,756756,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
CT,2719,14153816,2367,13009490,352,1063692,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
DC,2056,10285159,1637,8996952,419,1267056,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
DE,745,3870883,651,3575606,95,286776,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
FL,105020,554796546,95729,526124294,9291,28097244,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
GA,2516,12926156,2112,11605720,405,1223208,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
HI,3692,19060239,3184,17497432,508,1535940,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
IA,3084,15842890,2630,14452648,455,1374912,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
ID,566,2899939,477,2619760,89,269388,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
IL,5274,27170180,4455,24486512,819,2476404,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
IN,1830,9357238,1536,8442314,294,888804,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
KS,751,3934384,661,3631940,91,273672,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
KY,1138,5899966,986,5417682,152,460404,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
LA,9771,49690226,8135,44711334,1636,4947012,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MA,33900,179392165,30984,170289438,2916,8817732,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MD,17133,90513865,15609,85785232,1525,4610088,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
ME,304,1483355,222,1222402,82,246456,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MI,27286,142034128,24053,132195746,3233,9777348,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MN,10537,55954626,9730,53475622,807,2440620,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MO,1728,9052735,1517,8339722,211,637812,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MS,5735,29309290,4837,26585984,898,2715552,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
MT,830,4201428,683,3753310,147,443268,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NY,129583,680181850,116532,640457582,13051,39466728,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NC,7824,40746415,6884,37832632,940,2843316,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
ND,97,479518,75,409910,22,66528,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NE,137,694639,111,608224,26,79380,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NH,238,1200758,188,1032790,50,149940,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NJ,18821,102073878,17246,94785848,1575,4761540,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NM,590,3010253,482,2646782,108,326592,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
NV,6848,35766563,6069,33352934,780,2357208,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
OH,14924,77138312,12342,67829800,2583,7810236,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
OK,2604,13293681,2183,11998226,421,1274112,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
OR,8361,43467279,7338,40331480,1023,3092544,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
PA,27711,144610451,24554,134948784,3157,9545760,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
RI,1432,7402616,1239,6810460,193,583128,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
SC,2102,10833081,1793,9851580,309,934668,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
SD,1526,8081001,1401,7700354,125,377748,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
TN,8002,40909467,6743,37058154,1259,3806460,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
TX,57781,297959356,49706,273181428,8076,24420564,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
UT,235,1174401,182,1001646,53,160020,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
VA,6382,34148479,5822,32000002,560,1693188,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
VT,857,4347276,709,3896664,148,448056,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
WA,25715,135711388,23390,128549608,2325,7031808,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
WI,7115,36780395,6165,33881466,950,2872548,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
WV,4671,24037269,4007,22020182,664,2007936,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
WY,189,950935,154,843636,35,106596,IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914
AL,2491,12871090,2104,11564500,387,1171044,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
AK,663,3367444,549,3016388,114,344736,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
AR,2373,12149056,2009,11042380,364,1099980,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
AZ,4108,21492618,3556,19544692,552,1668240,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
CA,187725,1007115990,174128,957008862,13597,41117580,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
CO,1034,5127638,784,4307032,250,756756,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
CT,2719,14153816,2367,13009490,352,1063692,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
DC,2056,10285159,1637,8996952,419,1267056,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
DE,745,3870883,651,3575606,95,286776,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
FL,105020,554796546,95729,526124294,9291,28097244,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
GA,2516,12926156,2112,11605720,405,1223208,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
HI,3692,19060239,3184,17497432,508,1535940,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
IA,3084,15842890,2630,14452648,455,1374912,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
ID,566,2899939,477,2619760,89,269388,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
IL,5274,27170180,4455,24486512,819,2476404,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
IN,1830,9357238,1536,8442314,294,888804,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
KS,751,3934384,661,3631940,91,273672,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
KY,1138,5899966,986,5417682,152,460404,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
LA,9771,49690226,8135,44711334,1636,4947012,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
MA,33900,179392165,30984,170289438,2916,8817732,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
MD,17133,90513865,15609,85785232,1525,4610088,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
ME,304,1483355,222,1222402,82,246456,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
MI,27286,142034128,24053,132195746,3233,9777348,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
MN,10537,55954626,9730,53475622,807,2440620,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
MO,1728,9052735,1517,8339722,211,637812,ID,29.97222222222222,60442.95067901235,15695.672345679013,13378.929521604938,0.8523960762527086
