state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
RI,1432,7402616,1239,6810460,193,583128,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
SC,2102,10833081,1793,9851580,309,934668,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
SD,1526,8081001,1401,7700354,125,377748,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
TN,8002,40909467,6743,37058154,1259,3806460,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
TX,57781,297959356,49706,273181428,8076,24420564,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
UT,235,1174401,182,1001646,53,160020,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
VA,6382,34148479,5822,32000002,560,1693188,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
VT,857,4347276,709,3896664,148,448056,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WA,25715,135711388,23390,128549608,2325,7031808,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WI,7115,36780395,6165,33881466,950,2872548,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WV,4671,24037269,4007,22020182,664,2007936,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WY,189,950935,154,843636,35,106596,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
AL,2491,12871090,2104,11564500,387,1171044,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AK,663,3367444,549,3016388,114,344736,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AR,2373,12149056,2009,11042380,364,1099980,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AZ,4108,21492618,3556,19544692,552,1668240,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CA,187725,1007115990,174128,957008862,13597,41117580,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CO,1034,5127638,784,4307032,250,756756,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CT,2719,14153816,2367,13009490,352,1063692,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
DC,2056,10285159,1637,8996952,419,1267056,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
