state,BENE_AVG_RISK_SCRE,ACUTE_HOSP_READMSN_PCT,PW_GPCI,PE_GPCI,MP_GPCI,GDP,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage,LOS,Year2020,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Health_Status
SC,0.93,0.1726,1,0.907,0.624,245359.5,35.706729159691996,74673.02756277201,15138.292674924674,12537.523163709408,0.8281992846179261,5.64,5130729,2102,10833081,1793,9851580,309,934668,0.48
SD,0.86,0.152,1,1,0.368,55681.2,35.98705501618123,52780.26478964401,15166.851132686084,13671.065436893205,0.9013779668101765,4.91,887099,1526,8081001,1401,7700354,125,377748,0.52
TN,0.99,0.181,1,0.897,0.509,379007.1,36.55721873491067,64235.862626750364,14528.190659101883,11703.646745533559,0.805581852562022,5.5,6920119,8002,40909467,6743,37058154,1259,3806460,0.47
TX,1.04,0.1831,1.013375,0.9976250000000016,0.7044999999999995,1789933.4,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,0.8353286617732884,5.46,29217653,57781,297959356,49706,273181428,8076,24420564,0.46
UT,0.94,0.1259,1,0.923,0.982,202133.4,30.160997732426303,57048.36022675737,17957.731224489795,15171.002199546485,0.8448173107111149,3.92,3281684,235,1174401,182,1001646,53,160020,0.55
VA,0.95,0.1725,1,0.991,0.903,556992.6,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,0.8042104092710204,5.6,8632044,6382,34148479,5822,32000002,560,1693188,0.52
VT,0.82,0.1634,1,1.008,0.582,34018.6,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,0.8254449778302756,5.2,642495,857,4347276,709,3896664,148,448056,0.56
WA,0.9,0.154,1.0154999999999963,1.091,0.8385,612969.1,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,0.8223983103989823,5.36,7718785,25715,135711388,23390,128549608,2325,7031808,0.52
WI,0.95,0.1676,1,0.9490000000000006,0.322,340591.1,30.666412213740458,55682.461164122135,15838.847167938931,12861.698164122137,0.8120349939455724,4.9,5892323,7115,36780395,6165,33881466,950,2872548,0.5
WV,1.01,0.1979,1,0.8570000000000015,1.2469999999999968,76547.9,35.295890410958904,47220.435917808216,13518.595171232877,11049.930157534247,0.8173874590939844,5.94,1789798,4671,24037269,4007,22020182,664,2007936,0.38
WY,0.8,0.1406,1,1,0.8600000000000015,36330.4,27.13807531380753,45559.24372384937,16289.8289958159,14289.431297071129,0.8771995888195891,4.61,577267,189,950935,154,843636,35,106596,0.52
