state,GDP,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
KS,177580.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
KY,216865.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
LA,232527.8,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
ME,70740,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MD,410931,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MA,585150.3,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MI,520105.3,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MN,376814.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MS,115123.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MO,330249.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
MT,52355.8,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NE,134580.8,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NV,172562.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NH,88337.7,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NJ,620085.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NM,98790,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NY,1740804.7,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
NC,598915.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
ND,54422.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
OH,684382.5,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
OK,190063.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
OR,247966.7,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
PA,771613.2,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
RI,60770.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
SC,245359.5,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
SD,55681.2,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
TN,379007.1,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
TX,1789933.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
UT,202133.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
VT,34018.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
VA,556992.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WA,612969.1,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WV,76547.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WI,340591.1,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
WY,36330.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
AL,230892.1,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AK,50475.2,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AZ,382072.3,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
AR,133969.1,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CA,3020173.4,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CO,391263.3,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
CT,276223.3,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
DE,75818.6,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
DC,144720,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
FL,1116726.8,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
GA,625425.7,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
HI,82535.5,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
ID,85927.8,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
IL,856942.9,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
